node_id,name,display_name,country_name,facility_type,lat,lon,place
facility::f497cf65f904,Headquarter,Headquarter,China,,24.47751027,118.18424952,"21-22/F, Bldg A, Tefang Center, No.81, Zhanhong Road, Xiamen"
facility::f5a24b24d715,Maubeuge Plant,Electric car plant,France,Electric car producer,50.2715466,3.9078265,Maubeuge_-_Nord_-_France
facility::f5b822e9686f,SCUD Group Limited,Headquarter,China,Battery producer,26.00836640344795,119.42637137201473,"SCUD Industrial Park Fuzhou Pilot Free Trade Zone No. 98 Jiangbin East Avenue Mawei District, Fuzhou Fujian Province, China"
facility::f63c3cac6a9c,Headquarter,Headquarter,China,,30.50535598,114.15953261,"No.1 Dongfeng Avenue, Caidian District, Wuhan City, Hubei Province"
facility::f6e931a1efb9,Headquarter,Headquarter,Hong Kong,,22.28810734492507,114.21186331257269,"Suite 703, 7/F, Chinachem Exchange Square, 1 Hoi Wan Street, Qua, Hong Kong"
facility::f7ab4aa3ee60,Kokomo,Electric car plant,USA,Electric car producer,40.51522630895611,-86.1175954,"2644 N. 50 East, Southeast of the Kokomo Engine Plant, USA"
facility::f80398abebe5,Headquarter,Headquarter,China,Electric scooter producer,28.76028,120.0915294,"Jinyun County, Lishui, Zhejiang, China"
facility::f87306d48356,Volvo Cars Ghent,Electric car plant,Belgium,Electric car producer,51.1022173,3.7521812,Ghent_-_Belgium
facility::f88fd012a518,Precursor Plant,Precursor Plant,China,Precursor producer,38.5075159,102.205662,Jinchang_-_Gansu_-_China
facility::f9746ab51a27,Smyrna,Electric car plant,United States,Electric car producer,35.9662105,-86.4891278,Smyrna_-_Rutherford County_-_Tennessee_-_USA
facility::f9a5d91a7fc2,Headquarter,Headquarter,China,Cathode producer,39.0738,117.0842,"Xiqing District, Tianjin, China"
facility::fb0bfbda3681,Kamoto,Mine,Democratic Republic of the Congo,Commodity trader,-10.714798,25.385542,Musonoi
facility::fb5e1df42a0b,Headquarter,Headquarter,Austria,Electric car producer,48.09753585,13.15890523,"Betriebsgebiet Süd, Stallhofnerstraße 3, 5230 Mattighofen, Austria"
facility::fb651e0c453a,Bremen,Electric car plant,Germany,Battery producer,53.0579121,8.9035404,Hemelingen_-_Bremen_-_Germany
facility::fc5da2abaedd,Kokkola,Refinery Precursor Plant,Finland,Refiner,63.861931,23.0511864,Kokkola_-_Central Ostrobothnia_-_Finland
facility::fc64d556429b,Headquarter,Headquarter,Taiwan,Electric car producer,25.04630717,121.3618927,"No. 33, Dinghu Rd, Guishan District, Taoyuan City, Taiwan 333"
facility::fc99d4bd9269,Headquarter,Headquarter,France,Battery producer,48.8619051,2.22350966,"30 Rue Pasteur, 92150 Suresnes, France"
facility::fcd389c3488d,Headquarter,Headquarter,China,Commodity trader,39.8858429014947,116.35221999640311,"56 Nanxianli Xicheng District Beijing, 100032 China"
facility::fcdc9037b0d3,Headquarter,Headquarter,Vietnam,,21.024872340995415,105.83571241472949,"Đống Đa, Hanoi, Vietnam"
facility::fd64912cb147,BMW Group Competence Centre e-drive production,Battery pack plant,Germany,Electric car producer,48.6458413,12.458664,Dingolfing_-_Bavaria_-_Germany
facility::fd6a9e293482,Headquarter,Headquarter,China,Cathode producer,40.19869992,116.23710014,"No.18 Baifuquan Road, Changping District, Beijing, China"
facility::fddd2b606ed3,Nevada Gigafactory 1,Automobile Plant,USA,Battery producer,39.5374355,-119.4390571,Nevada Gigafactory 1_-_Clark_-_Nevada_-_USA
facility::fe876db4a1de,Headquarter,Headquarter,Hong Kong,,22.284688399806743,114.15469708032876,"38/F, The Center, 99 Queen's Road Central, Central, Hong Kong"
facility::fee4282fbe76,Facility,Facility,Singapore,,1.2844490228093792,103.85244529981156,"16 Collyer Quay, #33-02, Singapore 049318"
facility::ff15f670d6ce,Headquarter,Headquarter,South Korea,,35.998698091933726,129.38288899435915,"6261, Donghaean-ro, Nam-gu, Pohang-si, Gyeongsangbuk-do, the Republic of Korea"
facility::ff822d12afc0,Murrin Murrin Nickel Cobalt Plant,Mine,Australia,,-28.772050602525788,121.89427221385985,"Laverton WA 6440, Australie"
