company,stage,country,longitude,latitude,precision
ACE Green Recycling,source,Singapore,103.857676,1.300455,exact_company
Compagnie Minière de Luisha (COMILU),source,Democratic Republic of the Congo,27.019028,-11.165914,exact_company
Xiamen Tungsten,Battery cell manufacturing,China,118.18425,24.47751,exact_stage
Gotion High tech Co Ltd,Battery pack manufacturing,China,117.3688,31.909302,exact_stage
"Huizhou Yiwei Lithium Energy Co., Ltd. / EVE Energy Co., Ltd / 惠州亿纬锂能股份有限公司",Battery pack manufacturing,China,114.342754,23.043559,exact_stage
Electra Battery Materials Corp,source,Canada,-79.659613,47.408513,exact_company
KIMIN SAS (Kisanfu Mining SAS),source,Democratic Republic of the Congo,25.928137,-10.779617,exact_company
Vin Metal Synergies Fzco,Trading,United Arab Emirates,55.093879,24.983603,exact_stage
TRAXYS,Trading,China,116.426199,39.938724,exact_stage
Kamoa Copper S.A.,source,Democratic Republic of the Congo,25.197483,-10.886631,exact_company
BAIC Group,Electric car/scooter manufacturing,China,116.665474,39.654919,exact_stage
"Jiangmen Fangyuan Metal Material Technology Co., Ltd.",Refining,China,113.088015,22.452621,exact_stage
"Guangdong Fangyuan New Materials Group Co., Ltd.",Cathode manufacturing,China,113.097619,22.281101,exact_stage
Envision AESC,Battery pack manufacturing,France,3.026539,50.353705,exact_stage
La Compagnie Minière de Musonoie Global SAS (COMMUS),source,Democratic Republic of the Congo,25.456516,-10.727426,exact_company
La Minière de Kalumbwe Myunga (MKM SAS),source,Democratic Republic of the Congo,25.918807,-10.777651,exact_company
Li-Cycle Holdings Corp,source,Canada,-79.380394,43.639787,exact_company
Lohum Cleantech,source,India,77.54947,28.429435,exact_company
Managem,source,Morocco,-6.908125,30.517252,exact_company
Glencore,Recycling,Switzerland,8.527233,47.18132,exact_stage
Metal Mines Sarl,source,Democratic Republic of the Congo,26.787897,-10.99609,exact_company
"L-H Battery Company, Inc.",Battery cell manufacturing,United States,-83.557792,39.653005,exact_stage
Ultium Cells LLC,Battery cell manufacturing,USA,-80.850499,41.436581,exact_stage
Ultium CAM,Cathode manufacturing,Canada,-73.575038,45.502351,exact_stage
BAK Power Battery,Battery cell manufacturing,China,114.43455,22.623137,exact_stage
China Electronics Technology Group Co. Ltd.,Battery cell manufacturing,China,117.07225,39.07416,exact_stage
Coslight Technology International Group Co. Ltd.,Battery cell manufacturing,China,126.507016,45.691175,exact_stage
NETC (New Energy Technology Co. Ltd.),Battery cell manufacturing,China,123.9572,41.8809,exact_stage
Mopani Copper Mines plc,source,Zambia,28.205177,-12.830032,exact_company
Société Minière du Katanga (SOMIKA),source,Democratic Republic of the Congo,27.284888,-11.593111,exact_company
Société congolaise pour le traitement du terril de Lubumbashi (STL),source,Democratic Republic of the Congo,27.467858,-11.679936,exact_company
